indicator,country_code,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
PRIS_ACT_CAP,ALB,5316,5674,6031,5981,5689,4998,4618,4659,4657,4667,4916
PRIS_ACT_CAP,AUT,9163,8852,8619,8665,8692,8862,8805,8770,8540,8708,8248
PRIS_ACT_CAP,BIH,4377,2820,2832,2730,2825,2898,,2757,2743,,
PRIS_ACT_CAP,BEL,,,,10994,,11818,11183,11040,10526,10126,9811
PRIS_ACT_CAP,BGR,6651,6988,7345,7408,7870,8834,9493,9885,9379,9006,9408
PRIS_ACT_CAP,CHE,6602,6564,6507,6498,6519,6652,6102,5626,5765,5605,5303
PRIS_ACT_CAP,CYP,619,592,586,547,532,553,678,622,636,578,652
PRIS_ACT_CAP,CZE,21577,22159,22481,20866,18658,16645,22644,23170,21900,21853,20502
PRIS_ACT_CAP,DEU,65762,65841,64291,63020,63228,66221,68533,69543,70827,72295,73793
PRIS_ACT_CAP,DNK,3635,3418,3408,3203,3583,4091,3829,3947,3944,3721,3451
PRIS_ACT_CAP,EST,2584,2723,2864,2823,3034,3023,3286,3400,3393,3555,3656
PRIS_ACT_CAP,GRC,10654,10011,9560,9611,11798,12693,12475,12479,12349,11364,11736
PRIS_ACT_CAP,ESP,58883,58814,59589,61614,65017,66765,68597,70472,73929,76079,73558
PRIS_ACT_CAP,FIN,2956,3082,3156,3135,3148,3295,3306,3268,3364,3589,3530
PRIS_ACT_CAP,FRA,70059,68974,68432,66678,66270,67075,66572,64787,60544,60978,62252
PRIS_ACT_CAP,HRV,3217,3190,3108,3341,3763,4352,4741,5084,5165,4891,4734
PRIS_ACT_CAP,HUN,16303,17343,17658,17449,17890,17841,17179,17210,16328,15432,14743
PRIS_ACT_CAP,IRL,3962,3680,3718,3755,3777,4088,4287,4216,4318,3868,3484
PRIS_ACT_CAP,ISL,136,137,116,139,154,147,153,150,167,148,140
PRIS_ACT_CAP,ITA,61131,59038,55978,53410,54745,63848,67102,68325,69263,65598,59284
PRIS_ACT_CAP,LTU,6485,6599,6815,7355,8636,9261,9729,9920,9139,8655,8000
PRIS_ACT_CAP,LUX,656,684,724,691,626,656,666,637,681,702,762
PRIS_ACT_CAP,LVA,3522,3765,4243,4409,4745,5136,6117,6561,6780,7055,6548
PRIS_ACT_CAP,MNE,1125,1119,1123,1131,1123,1064,1331,1328,1457,1499,1216
PRIS_ACT_CAP,MKD,,3031,3231,,,,,,,,
PRIS_ACT_CAP,NLD,11251,10874,10601,10850,11934,12721,13473,13969,14368,14364,14610
PRIS_ACT_CAP,NOR,,4164,4192,4056,4103,3869,4052,3866,3564,3340,3477
PRIS_ACT_CAP,POL,72818,74480,72209,72695,79345,80165,85459,82832,82372,85749,84978
PRIS_ACT_CAP,PRT,13021,13587,13917,14373,14198,14535,13875,12955,11839,11287,10807
PRIS_ACT_CAP,ROU,20792,23450,27455,28334,30156,33434,31817,30694,28244,26716,26212
PRIS_ACT_CAP,SRB,10871,10807,10672,10064,10288,10031,10226,11070,11211,10975,9701
PRIS_ACT_CAP,SWE,6114,5713,5658,5691,5807,5723,6296,6669,6846,7286,7073
PRIS_ACT_CAP,SVN,1396,,1308,1399,1522,1360,1377,1273,1351,1365,1318
PRIS_ACT_CAP,SVK,10294,10028,9995,9913,10020,9753,10850,10525,10031,9316,8166
PRIS_ACT_CAP,TUR,264842,233415,200727,178257,159397,145468,136020,128604,120814,116340,
PRIS_ACT_CAP,GBR,83311,93288,92590,93635,93118,91574,94625,94279,93322,91325,91044
PRIS_ACT_CAP,UKR,1567,1709,1648,1478,1854,1776,1737,1441,,,
PRIS_OFF_CAP,ALB,6236,5455,5455,5484,4577,4577,4577,4417,4381,4425,4166
PRIS_OFF_CAP,AUT,,8884,4182,4191,8666,8636,8651,8773,8565,8678,8682
PRIS_OFF_CAP,BIH,3480,3587,3407,3510,3358,3297,,3199,3080,,
PRIS_OFF_CAP,BEL,,,,9952,,9715,9401,9212,9129,8546,8445
PRIS_OFF_CAP,BGR,8241,8491,8491,7408,7870,8834,9493,9885,9379,9006,9408
PRIS_OFF_CAP,CHE,7518,7489,7483,7324,7235,,,,,,
PRIS_OFF_CAP,CYP,566,528,,480,,370,370,370,351,360,322
PRIS_OFF_CAP,CZE,21058,,20754,20782,20020,20928,21307,20501,,,
PRIS_OFF_CAP,DEU,74386,73603,73627,73916,75793,,,,,,
PRIS_OFF_CAP,DNK,3795,3592,3522,3761,4153,,,,,,
PRIS_OFF_CAP,EST,3334,2915,2915,,2962,3420,,3662,3637,3621,3880
PRIS_OFF_CAP,GRC,,10260,9815,9886,9886,9909,9886,10376,10326,9723,9664
PRIS_OFF_CAP,ESP,64323,64109,64144,,,,,,,,
PRIS_OFF_CAP,FIN,2975,2922,2959,3079,3083,,,,,,
PRIS_OFF_CAP,FRA,,59765,58681,58561,57841,57516,56992,57236,56358,54988,51997
PRIS_OFF_CAP,HRV,3558,,,4022,4022,3921,3921,3921,3501,3501,3501
PRIS_OFF_CAP,HUN,14469,14011,13774,13209,12584,12584,12573,12604,12335,12042,12556
PRIS_OFF_CAP,IRL,,,,4695,4145,4244,4622,4480,4480,4323,3827
PRIS_OFF_CAP,ISL,,,140,148,155,164,141,,,145,145
PRIS_OFF_CAP,ITA,51141,51078,50806,50239,50282,48559,47864,46452,45791,44838,43843
PRIS_OFF_CAP,LTU,8011,8011,8011,9399,9399,9399,9399,9399,9399,9062,9062
PRIS_OFF_CAP,LUX,711,711,711,711,711,,,,,,
PRIS_OFF_CAP,LVA,3522,3783,4409,5871,5852,8144,7970,,8333,8015,8042
PRIS_OFF_CAP,MNE,1345,1345,1375,,,1116,1116,1116,1066,1022,1280
PRIS_OFF_CAP,MKD,,2519,,,,,,1941,2041,1941,1681
PRIS_OFF_CAP,NLD,,,,14299,14665,15283,15731,15509,16033,17668,
PRIS_OFF_CAP,NOR,,,3880,3850,3916,,,,,,
PRIS_OFF_CAP,POL,85940,88637,89178,89164,87742,88662,88498,87961,86755,86019,85049
PRIS_OFF_CAP,PRT,12934,12694,12600,12591,12591,12400,12342,12330,12174,12102,12464
PRIS_OFF_CAP,ROU,19414,20408,27889,27479,28901,29389,27125,26618,34165,33960,34299
PRIS_OFF_CAP,SRB,10307,9892,9802,9459,9340,9200,9000,6924,,,
PRIS_OFF_CAP,SWE,6539,6147,6252,6262,6475,6675,6963,7045,6805,6981,7175
PRIS_OFF_CAP,SVN,1339,1339,1322,1322,1293,1293,1309,1309,1115,1098,1098
PRIS_OFF_CAP,SVK,11499,10941,11033,11184,11828,11812,11304,11201,11085,10876,10818
PRIS_OFF_CAP,TUR,213862,208780,202675,177636,163129,154115,142460,116754,114348,106779,
PRIS_OFF_CAP,GBR,90346,88849,89170,90909,91653,90349,94698,93976,92291,1842,1722
PRIS_OFF_CAP,UKR,1567,2290,2290,2394,2132,2127,1785,1484,,,
